type,seq,timestamp,taget_seq,taget,mac,rssi,rate,sig_mode,mcs,cwb,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel_primary,channel_secondary,local_timestamp,ant,sig_len,rx_state,len,first_word_invalid,data
CSI_DATA,180652,2024-04-28 15:07:47.010,1,someone,62:2c:04:9f:51:db,-44,11,1,5,0,1,1,0,0,0,0,-90,0,6,0,1917536933,0,83,0,104,0,"[15, 6, 14, 5, 16, 4, 15, 3, 15, 1, 14, 1, 13, 0, 12, -1, 10, -1, 10, -1, 9, 1, 8, 2, 8, 3, 9, 4, 10, 5, 12, 6, 13, 6, 14, 5, 14, 5, 14, 3, 14, 3, 13, 3, 11, 2, 10, 2, 8, 3, 6, 3, 9, -3, 10, -3, 10, -2, 11, -1, 11, 1, 12, 1, 12, 3, 12, 3, 11, 4, 12, 4, 11, 4, 11, 5, 12, 5, 11, 4, 12, 4, 11, 4, 11, 3, 11, 3, 12, 3, 11, 3, 11, 3, 11, 3, 10, 5, 11, 5, 13, 6, 13, 6]"
CSI_DATA,180653,2024-04-28 15:07:47.019,1,someone,62:2c:04:9f:51:db,-44,11,1,5,0,1,1,0,0,0,0,-90,0,6,0,1917547049,0,83,0,104,0,"[0, -17, -2, -17, -2, -18, -2, -17, -4, -16, -5, -15, -6, -14, -6, -12, -6, -11, -5, -10, -4, -9, -3, -9, -1, -10, -1, -10, -1, -12, 0, -14, 0, -14, -1, -15, -2, -16, -3, -16, -3, -16, -3, -16, -3, -14, -3, -13, -2, -11, 0, -10, -7, -9, -6, -11, -5, -11, -4, -12, -3, -12, -3, -13, -2, -14, -1, -13, 0, -14, 0, -14, 0, -14, 0, -13, 0, -13, 0, -14, 0, -14, -1, -13, -1, -14, -1, -13, -1, -13, -1, -12, -2, -12, 0, -13, 0, -13, 0, -13, 0, -14, 1, -16]"
CSI_DATA,180654,2024-04-28 15:07:47.029,1,someone,62:2c:04:9f:51:db,-44,11,1,5,0,1,1,0,0,0,0,-90,0,6,0,1917556954,0,83,0,104,0,"[-7, -15, -7, -15, -8, -15, -9, -15, -10, -13, -10, -12, -10, -10, -9, -9, -9, -8, -7, -8, -6, -8, -6, -8, -5, -9, -4, -10, -4, -12, -5, -13, -6, -13, -6, -14, -7, -15, -8, -15, -8, -14, -8, -13, -7, -12, -7, -11, -5, -10, -3, -9, -8, -6, -9, -7, -9, -8, -8, -10, -9, -10, -8, -12, -6, -11, -6, -12, -6, -12, -6, -13, -5, -13, -4, -14, -5, -13, -5, -13, -5, -13, -5, -12, -6, -12, -6, -12, -5, -12, -6, -12, -6, -12, -5, -11, -4, -13, -5, -13, -4, -13, -4, -14]"
CSI_DATA,180655,2024-04-28 15:07:47.039,1,someone,62:2c:04:9f:51:db,-44,11,1,5,0,1,1,0,0,0,0,-90,0,6,0,1917566978,0,83,0,104,0,"[14, 6, 16, 5, 15, 4, 16, 3, 16, 1, 15, 1, 14, -1, 13, -1, 10, -1, 10, -1, 9, 1, 9, 0, 8, 2, 9, 3, 11, 4, 12, 5, 12, 5, 14, 5, 15, 4, 14, 4, 15, 3, 14, 2, 13, 3, 11, 2, 9, 3, 7, 4, 9, -3, 10, -2, 11, -1, 11, 1, 12, 0, 12, 2, 11, 2, 11, 4, 12, 3, 12, 4, 11, 4, 11, 5, 11, 5, 12, 6, 12, 4, 12, 4, 12, 4, 11, 3, 11, 3, 11, 3, 11, 4, 11, 4, 10, 5, 12, 5, 12, 6, 13, 7]"
CSI_DATA,180656,2024-04-28 15:07:47.049,1,someone,62:2c:04:9f:51:db,-44,11,1,5,0,1,1,0,0,0,0,-90,0,6,0,1917577042,0,83,0,104,0,"[0, 16, 0, 16, 1, 16, 3, 16, 3, 15, 4, 14, 5, 12, 5, 10, 4, 10, 4, 8, 3, 9, 1, 8, 0, 9, -1, 10, -1, 12, 0, 13, -1, 13, 0, 15, 1, 15, 1, 16, 2, 14, 3, 14, 2, 13, 1, 11, 0, 10, 0, 8, 6, 8, 6, 10, 4, 10, 4, 11, 3, 11, 2, 12, 1, 12, 0, 13, 1, 13, 0, 13, 0, 13, -1, 13, -1, 13, -1, 13, -1, 12, -1, 12, 0, 13, 0, 12, 1, 12, 0, 12, 0, 12, 0, 11, 0, 13, 0, 12, 0, 14, -1, 15]"
CSI_DATA,180657,2024-04-28 15:07:47.059,1,someone,62:2c:04:9f:51:db,-44,11,1,5,0,1,1,0,0,0,0,-90,0,6,0,1917587056,0,83,0,104,0,"[14, -5, 14, -7, 14, -7, 13, -8, 12, -9, 11, -9, 9, -9, 8, -9, 7, -8, 6, -7, 7, -6, 6, -5, 8, -4, 9, -4, 10, -4, 11, -4, 12, -5, 13, -6, 13, -6, 13, -6, 13, -7, 12, -7, 10, -6, 9, -6, 8, -4, 7, -3, 5, -9, 6, -8, 7, -9, 8, -7, 9, -7, 9, -7, 10, -7, 10, -6, 11, -5, 11, -5, 11, -5, 11, -4, 11, -5, 12, -5, 11, -4, 10, -4, 10, -5, 10, -5, 11, -5, 10, -4, 9, -5, 10, -5, 11, -4, 12, -4, 13, -5, 13, -4]"
CSI_DATA,180658,2024-04-28 15:07:47.072,1,someone,62:2c:04:9f:51:db,-44,11,1,5,0,1,1,0,0,0,1,-90,0,6,0,1917598849,0,83,0,104,0,"[-12, -11, -13, -11, -14, -10, -14, -10, -15, -8, -15, -7, -13, -5, -13, -4, -12, -4, -11, -4, -9, -5, -9, -6, -8, -7, -8, -8, -9, -10, -10, -10, -11, -10, -12, -11, -13, -11, -14, -10, -14, -9, -13, -9, -12, -8, -11, -8, -8, -7, -7, -7, -11, -2, -11, -3, -12, -4, -12, -6, -12, -6, -11, -8, -11, -8, -11, -8, -11, -10, -11, -9, -9, -10, -9, -10, -9, -10, -10, -11, -10, -9, -10, -9, -10, -9, -11, -9, -10, -8, -10, -8, -10, -7, -10, -8, -10, -10, -9, -11, -10, -11, -10, -11]"
CSI_DATA,180659,2024-04-28 15:07:47.079,1,someone,62:2c:04:9f:51:db,-44,11,1,5,0,1,1,0,0,0,1,-90,0,6,0,1917607047,0,83,0,104,0,"[-13, 10, -13, 10, -12, 12, -11, 13, -10, 13, -8, 13, -7, 12, -6, 12, -5, 11, -5, 10, -4, 8, -5, 7, -6, 7, -7, 7, -8, 6, -9, 7, -11, 8, -11, 9, -12, 9, -12, 11, -11, 11, -12, 11, -11, 11, -10, 10, -9, 9, -9, 7, -3, 10, -5, 10, -7, 10, -8, 10, -8, 10, -9, 10, -10, 8, -10, 8, -11, 7, -10, 7, -11, 7, -12, 7, -12, 7, -11, 8, -11, 7, -10, 8, -10, 8, -10, 7, -9, 8, -9, 7, -9, 7, -11, 7, -10, 7, -11, 7, -12, 8, -13, 8]"
CSI_DATA,180660,2024-04-28 15:07:47.089,1,someone,62:2c:04:9f:51:db,-44,11,1,5,0,1,1,0,0,0,1,-90,0,6,0,1917616976,0,83,0,104,0,"[-10, -13, -12, -13, -13, -13, -13, -11, -13, -9, -13, -8, -13, -7, -12, -6, -10, -7, -9, -5, -8, -6, -8, -6, -7, -8, -8, -9, -7, -10, -8, -11, -10, -12, -10, -12, -11, -13, -11, -13, -12, -11, -11, -11, -11, -10, -10, -8, -7, -8, -5, -7, -11, -3, -11, -4, -11, -5, -10, -6, -11, -7, -10, -9, -10, -9, -9, -10, -9, -11, -9, -10, -9, -10, -9, -10, -8, -11, -9, -10, -10, -11, -9, -10, -9, -10, -9, -9, -10, -10, -9, -8, -9, -9, -9, -10, -8, -10, -8, -10, -7, -12, -8, -13]"
CSI_DATA,180661,2024-04-28 15:07:47.102,1,someone,62:2c:04:9f:51:db,-44,11,1,5,0,1,1,0,0,0,1,-90,0,6,0,1917626989,0,83,0,104,0,"[-8, 14, -8, 14, -7, 15, -4, 15, -4, 15, -4, 15, -2, 14, -1, 11, -1, 11, -1, 10, -2, 9, -3, 8, -5, 8, -6, 9, -6, 10, -8, 11, -8, 11, -8, 13, -7, 13, -7, 14, -7, 14, -6, 14, -5, 12, -5, 10, -5, 10, -5, 7, 2, 10, 1, 11, -1, 11, -2, 11, -3, 11, -4, 11, -5, 12, -5, 11, -6, 12, -5, 11, -7, 11, -7, 11, -6, 11, -7, 11, -6, 12, -6, 11, -5, 12, -6, 11, -5, 10, -5, 11, -6, 10, -7, 10, -7, 11, -7, 10, -7, 11, -8, 12]"
